No.,Sexo,Tipo_Empleo,Tiene_Vehiculo,Edad,Ciudad_Chile,Num_Entidades_Deuda,Tiene_Tarjeta,Saldo_Tarjeta_CLP,Saldo_Total_CLP,Variacion_Endeudamiento,Peor_Calificacion_36M,Peor_Calificacion_12M,Reportes_Central_36M,Reportes_Central_12M,Promedio_Saldo_CLP,Maximo_Saldo_CLP,Ingreso_CLP,Ratio_Saldo_Ingreso,ScoreRiesgo,RiesgoAlto
1,F,IND,1,37,SANTIAGO,2,0,0,15476638.5,-0.16454826725007,0,0,36,12,9172391.91,18524874.5,3570000,0.361266062995657,8.57,0
2,F,IND,0,44,SANTIAGO,4,1,2036506.5,11000844.5,0.209046900164791,0,0,36,12,6807461.3,9098774,4250000,0.215702829103866,14.52,1
3,F,IND,0,29,SANTIAGO,2,1,315052.5,1337288,-0.428390805015314,1,0,36,12,1939498.21,2339514.5,1700000,0.0655533301199348,7.04,0
4,F,IND,0,25,SANTIAGO,2,1,1408773,8404936,-0.239959584308007,0,0,36,12,10292293.51,11878554.5,2550000,0.274671102134931,8.12,0
5,F,DEP,0,53,SANTIAGO,4,1,4934165,7297564.5,-0.225548025587333,2,0,36,12,6562122.4,10509340.5,1275000,0.476964968825819,15.82,1
6,M,DEP,0,50,SANTIAGO,3,1,1311244,2707930,-0.0238239812990317,0,0,36,12,9150347.41,19191733.5,2380000,0.0948154728706067,10.55,0
7,M,IND,0,41,SANTIAGO,3,1,3736617,6037618,-0.0814190361283574,1,1,33,12,4900799.1,8207472.5,2550000,0.197307771329811,18.57,1
8,M,IND,0,31,SANTIAGO,1,0,0,733303.5,-0.324775072409048,1,0,28,12,790454.18,1710939.5,2210000,0.027650960495816,3.52,0
9,M,IND,0,33,SANTIAGO,3,1,10021109,10401297,-0.0659160457932037,0,0,36,12,6981230.2,11693875,2890000,0.299922050175258,11.6,1
10,F,DEP,0,24,SANTIAGO,1,0,0,543830,-0.287014925373134,0,0,34,12,598961.51,854250,1360000,0.0333229146248214,3.56,0
11,M,IND,0,26,SANTIAGO,2,1,2413473,8455494,-0.157878162198129,1,1,35,12,7703444,10040701.5,3825000,0.184215551542145,15.17,1
12,F,DEP,0,23,SANTIAGO,2,1,3675459.5,3675459.5,-0.0402086814929083,0,0,32,12,2022873.6,3967290,2550000,0.120113051630292,7.35,0
13,M,DEP,0,29,SANTIAGO,1,1,2574658.5,2783112.5,-0.101906862180384,2,0,29,11,2372312.77,3098913,1360000,0.170533843717289,4.27,0
14,F,IND,0,42,SANTIAGO,0,0,0,0,-1,0,0,33,9,944293.3,1651269.5,1700000,0,0,0
15,F,DEP,0,48,SANTIAGO,3,1,641716,2563982.5,-0.487891494265018,0,0,36,12,4363424,6436157.5,2125000,0.100548329390262,10.55,0
16,M,IND,0,46,SANTIAGO,3,0,0,2018410,0.448379713973401,1,0,36,12,1254188.6,1493008,1700000,0.0989416618165852,10.61,0
17,F,DEP,0,30,SANTIAGO,4,1,459620.5,1415947,0.0663789382822615,0,0,36,12,1406281.9,2363340,1360000,0.0867614530170678,13.85,1
19,F,DEP,0,32,SANTIAGO,1,1,400120.5,400120.5,-0.820771853442994,4,0,34,12,793635.9,2358427,1530000,0.02179305436857,3.46,0
20,F,DEP,0,25,SANTIAGO,3,1,3128527,15298376.5,-0.0275041192036736,1,1,36,12,15266268.6,16564791.5,1921000,0.663646357641577,20.95,1
21,F,DEP,0,35,SANTIAGO,3,1,3441709.5,3441709.5,-0.176595514047484,1,1,25,12,3704843.4,5959537,2125000,0.134968994707098,18.25,1
22,F,IND,0,29,SANTIAGO,3,1,3960685.5,4610349,0.14270244533444,0,0,36,12,3338324,4034601.5,2082500,0.184487747719578,11.02,0
23,F,IND,0,45,SANTIAGO,3,1,883328.5,2112037.5,-0.540189734430357,1,1,36,12,4063867,5806010,1275000,0.138041657644336,18.24,1
